"MUNICIPIO_HECHO_AcceCar,""AÑO_AcceCar"",""ZONA_AcceCar"",""EDAD_AcceCar"""
"SANTANDER DE QUILICHAO,2019,""URBANA"",13"
"SANTANDER DE QUILICHAO,2019,""URBANA"",11"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""URBANA"",8"
"SANTANDER DE QUILICHAO,2019,""URBANA"",10"
"SANTANDER DE QUILICHAO,2019,""URBANA"",11"
"SANTANDER DE QUILICHAO,2019,""URBANA"",13"
"SANTANDER DE QUILICHAO,2019,""URBANA"",18"
"SANTANDER DE QUILICHAO,2019,""URBANA"",13"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""URBANA"",8"
"SANTANDER DE QUILICHAO,2019,""URBANA"",6"
"SANTANDER DE QUILICHAO,2019,""RURAL"",13"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""URBANA"",14"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""RURAL"",9"
"SANTANDER DE QUILICHAO,2019,""RURAL"",6"
"SANTANDER DE QUILICHAO,2019,""URBANA"",9"
"SANTANDER DE QUILICHAO,2019,""RURAL"",10"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""URBANA"",11"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"GUACHENÉ,2019,""URBANA"",13"
"PUERTO TEJADA,2019,""URBANA"",18"
"PUERTO TEJADA,2019,""URBANA"",13"
"PUERTO TEJADA,2019,""URBANA"",7"
"PUERTO TEJADA,2019,""URBANA"",7"
"PUERTO TEJADA,2019,""URBANA"",13"
"PUERTO TEJADA,2019,""URBANA"",12"
"PUERTO TEJADA,2019,""URBANA"",5"
"PUERTO TEJADA,2019,""URBANA"",13"
"PUERTO TEJADA,2019,""URBANA"",10"
"PUERTO TEJADA,2019,""URBANA"",14"
"PUERTO TEJADA,2019,""URBANA"",11"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",12"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",15"
"SANTANDER DE QUILICHAO,2020,""URBANA"",12"
"SANTANDER DE QUILICHAO,2020,""URBANA"",3"
"SANTANDER DE QUILICHAO,2020,""URBANA"",12"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""RURAL"",12"
"SANTANDER DE QUILICHAO,2020,""RURAL"",14"
"SANTANDER DE QUILICHAO,2020,""RURAL"",13"
"SANTANDER DE QUILICHAO,2020,""RURAL"",8"
"SANTANDER DE QUILICHAO,2020,""RURAL"",14"
"SANTANDER DE QUILICHAO,2020,""RURAL"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",12"
"GUACHENÉ,2020,""URBANA"",11"
"GUACHENÉ,2020,""URBANA"",13"
"PUERTO TEJADA,2020,""URBANA"",12"
"PUERTO TEJADA,2020,""URBANA"",27"
"PUERTO TEJADA,2020,""URBANA"",13"
"PUERTO TEJADA,2020,""URBANA"",4"
"PUERTO TEJADA,2020,""URBANA"",1"
"PUERTO TEJADA,2020,""URBANA"",28"
"PUERTO TEJADA,2020,""URBANA"",14"
"PUERTO TEJADA,2020,""URBANA"",12"
"PUERTO TEJADA,2020,""URBANA"",14"
"PUERTO TEJADA,2020,""URBANA"",26"
"SANTANDER DE QUILICHAO,2021,""URBANA"",12"
"SANTANDER DE QUILICHAO,2021,""URBANA"",15"
"SANTANDER DE QUILICHAO,2021,""URBANA"",15"
"SANTANDER DE QUILICHAO,2021,""URBANA"",3"
"SANTANDER DE QUILICHAO,2021,""URBANA"",12"
"SANTANDER DE QUILICHAO,2021,""RURAL"",10"
"SANTANDER DE QUILICHAO,2021,""URBANA"",NULL"
"SANTANDER DE QUILICHAO,2021,""URBANA"",10"
"SANTANDER DE QUILICHAO,2021,""URBANA"",12"
"SANTANDER DE QUILICHAO,2021,""RURAL"",13"
"SANTANDER DE QUILICHAO,2021,""RURAL"",7"
"SANTANDER DE QUILICHAO,2021,""RURAL"",12"
"GUACHENÉ,2021,""URBANA"",13"
"GUACHENÉ,2021,""URBANA"",10"
"GUACHENÉ,2021,""RURAL"",NULL"
"GUACHENÉ,2021,""RURAL"",14"
"GUACHENÉ,2021,""RURAL"",10"
"GUACHENÉ,2021,""RURAL"",14"
"PUERTO TEJADA,2021,""URBANA"",3"
"PUERTO TEJADA,2021,""URBANA"",8"
"PUERTO TEJADA,2021,""URBANA"",13"
"PUERTO TEJADA,2021,""URBANA"",11"
"PUERTO TEJADA,2021,""URBANA"",13"
"PUERTO TEJADA,2021,""RURAL"",16"
"SANTANDER DE QUILICHAO,2022,""URBANA"",13"
"SANTANDER DE QUILICHAO,2022,""URBANA"",11"
"SANTANDER DE QUILICHAO,2022,""URBANA"",14"
"SANTANDER DE QUILICHAO,2022,""URBANA"",14"
"SANTANDER DE QUILICHAO,2022,""URBANA"",13"
"SANTANDER DE QUILICHAO,2022,""URBANA"",10"
"SANTANDER DE QUILICHAO,2022,""URBANA"",13"
"SANTANDER DE QUILICHAO,2022,""URBANA"",13"
"SANTANDER DE QUILICHAO,2022,""URBANA"",14"
"SANTANDER DE QUILICHAO,2022,""URBANA"",14"
"SANTANDER DE QUILICHAO,2022,""RURAL"",9"
"SANTANDER DE QUILICHAO,2022,""RURAL"",13"
"SANTANDER DE QUILICHAO,2022,""URBANA"",14"
"GUACHENÉ,2022,""RURAL"",6"
"GUACHENÉ,2022,""URBANA"",12"
"PUERTO TEJADA,2022,""URBANA"",12"
"PUERTO TEJADA,2022,""URBANA"",11"
"PUERTO TEJADA,2022,""URBANA"",12"
"PUERTO TEJADA,2022,""URBANA"",13"
"PUERTO TEJADA,2022,""URBANA"",11"
"PUERTO TEJADA,2022,""RURAL"",11"
"SANTANDER DE QUILICHAO,2019,""URBANA"",13"
"SANTANDER DE QUILICHAO,2019,""URBANA"",11"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""URBANA"",8"
"SANTANDER DE QUILICHAO,2019,""URBANA"",10"
"SANTANDER DE QUILICHAO,2019,""URBANA"",11"
"SANTANDER DE QUILICHAO,2019,""URBANA"",13"
"SANTANDER DE QUILICHAO,2019,""URBANA"",18"
"SANTANDER DE QUILICHAO,2019,""URBANA"",13"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""URBANA"",8"
"SANTANDER DE QUILICHAO,2019,""URBANA"",6"
"SANTANDER DE QUILICHAO,2019,""RURAL"",13"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""URBANA"",14"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""RURAL"",9"
"SANTANDER DE QUILICHAO,2019,""RURAL"",6"
"SANTANDER DE QUILICHAO,2019,""URBANA"",9"
"SANTANDER DE QUILICHAO,2019,""RURAL"",10"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"SANTANDER DE QUILICHAO,2019,""URBANA"",11"
"SANTANDER DE QUILICHAO,2019,""URBANA"",12"
"GUACHENÉ,2019,""URBANA"",13"
"PUERTO TEJADA,2019,""URBANA"",18"
"PUERTO TEJADA,2019,""URBANA"",13"
"PUERTO TEJADA,2019,""URBANA"",7"
"PUERTO TEJADA,2019,""URBANA"",7"
"PUERTO TEJADA,2019,""URBANA"",13"
"PUERTO TEJADA,2019,""URBANA"",12"
"PUERTO TEJADA,2019,""URBANA"",5"
"PUERTO TEJADA,2019,""URBANA"",13"
"PUERTO TEJADA,2019,""URBANA"",10"
"PUERTO TEJADA,2019,""URBANA"",14"
"PUERTO TEJADA,2019,""URBANA"",11"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",12"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",15"
"SANTANDER DE QUILICHAO,2020,""URBANA"",12"
"SANTANDER DE QUILICHAO,2020,""URBANA"",3"
"SANTANDER DE QUILICHAO,2020,""URBANA"",12"
"SANTANDER DE QUILICHAO,2020,""URBANA"",13"
"SANTANDER DE QUILICHAO,2020,""RURAL"",12"
"SANTANDER DE QUILICHAO,2020,""RURAL"",14"
"SANTANDER DE QUILICHAO,2020,""RURAL"",13"
"SANTANDER DE QUILICHAO,2020,""RURAL"",8"
"SANTANDER DE QUILICHAO,2020,""RURAL"",14"
"SANTANDER DE QUILICHAO,2020,""RURAL"",13"
"SANTANDER DE QUILICHAO,2020,""URBANA"",12"
"GUACHENÉ,2020,""URBANA"",11"
"GUACHENÉ,2020,""URBANA"",13"
"PUERTO TEJADA,2020,""URBANA"",12"
"PUERTO TEJADA,2020,""URBANA"",27"
"PUERTO TEJADA,2020,""URBANA"",13"
"PUERTO TEJADA,2020,""URBANA"",4"
"PUERTO TEJADA,2020,""URBANA"",1"
"PUERTO TEJADA,2020,""URBANA"",28"
"PUERTO TEJADA,2020,""URBANA"",14"
"PUERTO TEJADA,2020,""URBANA"",12"
"PUERTO TEJADA,2020,""URBANA"",14"
"PUERTO TEJADA,2020,""URBANA"",26"
"SANTANDER DE QUILICHAO,2021,""URBANA"",12"
"SANTANDER DE QUILICHAO,2021,""URBANA"",15"
"SANTANDER DE QUILICHAO,2021,""URBANA"",15"
"SANTANDER DE QUILICHAO,2021,""URBANA"",3"
"SANTANDER DE QUILICHAO,2021,""URBANA"",12"
"SANTANDER DE QUILICHAO,2021,""RURAL"",10"
"SANTANDER DE QUILICHAO,2021,""URBANA"",NULL"
"SANTANDER DE QUILICHAO,2021,""URBANA"",10"
"SANTANDER DE QUILICHAO,2021,""URBANA"",12"
"SANTANDER DE QUILICHAO,2021,""RURAL"",13"
"SANTANDER DE QUILICHAO,2021,""RURAL"",7"
"SANTANDER DE QUILICHAO,2021,""RURAL"",12"
"GUACHENÉ,2021,""URBANA"",13"
"GUACHENÉ,2021,""URBANA"",10"
"GUACHENÉ,2021,""RURAL"",NULL"
"GUACHENÉ,2021,""RURAL"",14"
"GUACHENÉ,2021,""RURAL"",10"
"GUACHENÉ,2021,""RURAL"",14"
"PUERTO TEJADA,2021,""URBANA"",3"
"PUERTO TEJADA,2021,""URBANA"",8"
"PUERTO TEJADA,2021,""URBANA"",13"
"PUERTO TEJADA,2021,""URBANA"",11"
"PUERTO TEJADA,2021,""URBANA"",13"
"PUERTO TEJADA,2021,""RURAL"",16"
"SANTANDER DE QUILICHAO,2022,""URBANA"",13"
"SANTANDER DE QUILICHAO,2022,""URBANA"",11"
"SANTANDER DE QUILICHAO,2022,""URBANA"",14"
"SANTANDER DE QUILICHAO,2022,""URBANA"",14"
"SANTANDER DE QUILICHAO,2022,""URBANA"",13"
"SANTANDER DE QUILICHAO,2022,""URBANA"",10"
"SANTANDER DE QUILICHAO,2022,""URBANA"",13"
"SANTANDER DE QUILICHAO,2022,""URBANA"",13"
"SANTANDER DE QUILICHAO,2022,""URBANA"",14"
"SANTANDER DE QUILICHAO,2022,""URBANA"",14"
"SANTANDER DE QUILICHAO,2022,""RURAL"",9"
"SANTANDER DE QUILICHAO,2022,""RURAL"",13"
"SANTANDER DE QUILICHAO,2022,""URBANA"",14"
"GUACHENÉ,2022,""RURAL"",6"
"GUACHENÉ,2022,""URBANA"",12"
"PUERTO TEJADA,2022,""URBANA"",12"
"PUERTO TEJADA,2022,""URBANA"",11"
"PUERTO TEJADA,2022,""URBANA"",12"
"PUERTO TEJADA,2022,""URBANA"",13"
"PUERTO TEJADA,2022,""URBANA"",11"
"PUERTO TEJADA,2022,""RURAL"",11"
